ten_mon,tin_chi
Nhập môn tin học,3
Nhập môn lập trình,3
Lập trình C,3
Lập trình C++,3
Lập trình C++ căn bản,3
Lập trình C/C++ căn bản,3
Lập trình Scratch,3
Lập trình hướng đối tượng,3
Lập trình Python,3
Lập trình Java,3
Lập trình Web,3
Lập trình Web nâng cao,3
Lập trình di động,3
Lập trình mạng,3
Lập trình thiết bị di động,3
Cấu trúc dữ liệu và giải thuật,4
Cơ sở dữ liệu,4
Hệ quản trị cơ sở dữ liệu,3
Phân tích thiết kế hệ thống,3
Phân tích thiết kế hệ thống thông tin,3
Công nghệ phần mềm,3
Nhập môn công nghệ phần mềm,3
Kiểm thử phần mềm,3
Quản lý dự án phần mềm,3
Mạng máy tính,3
Hệ điều hành,3
Kiến trúc máy tính,3
An toàn thông tin,3
Trí tuệ nhân tạo,3
Học máy,3
Khai phá dữ liệu,3
Xử lý ảnh,3
Đồ họa máy tính,3
Điện toán đám mây,3
Hệ thống thông tin,3
Hệ thống nhúng,3
Cơ sở toán cho tin học,3
Toán rời rạc,4
Toán cao cấp,4
Giải tích,4
Giải tích thực và đại số tuyến tính,4
Đại số tuyến tính,3
Xác suất thống kê,3
Vật lý đại cương,3
Triết học Mác-Lênin,3
Kinh tế chính trị Mác-Lênin,2
Tư tưởng Hồ Chí Minh,2
Lịch sử Đảng Cộng sản Việt Nam,2
Pháp luật đại cương,2
Giáo dục thể chất,2
Giáo dục quốc phòng và an ninh,4
Tâm lý học,2
Giáo dục học,3
Phương pháp nghiên cứu khoa học,2
Tiếng Anh 1,3
Tiếng Anh 2,3
Tiếng Anh 3,3
Tiếng Anh 4,3
Tiếng Anh chuyên ngành CNTT,3
Tiếng Anh chuyên ngành trong KHGD,2
Phương pháp dạy học bộ môn Tin học,3
Phân tích và thiết kế hệ thống thông tin,3
Thiết kế và lập trình web,3
Giao tiếp người máy,3
Mô hình hóa và mô phỏng,3
Thiết kế web,3
Công cụ và môi trường phát triển phần mềm,3
Kỹ năng mềm,2
Khởi nghiệp,2
Cơ sở văn hóa Việt Nam,2
Khoa học trái đất,2
Môi trường và phát triển bền vững,2
Sinh học đại cương,2
Hóa học đại cương,2
Thực tập cơ bản,2
Thực tập nghề nghiệp,3
Khóa luận tốt nghiệp,6
Đồ án tốt nghiệp,6
Chuyên đề tốt nghiệp,4
